idFilme,generoartista,nomeartista,profissao
tt0491136,actor,Hidetoshi Nishijima,actor
tt0491322,actor,Bulut Aras,actor
tt0491322,actor,Münir Özkul,actor
tt0491322,actor,Ahmet Mekin,actor
tt0491322,actress,Serpil Çakmakli,actress
tt0491322,actor,Hulusi Kentmen,actor
tt0491927,actor,Ferdi Akarnur,actor
tt0491927,actor,Özkan Yilmaz,actor
tt0491927,actor,Tarik Tarcan,actor
tt0491927,actor,Orçun Sonat,actor
tt0491927,actor,Mesut Çakarli,actor
tt0491927,actress,Hülya Koçyigit,actress
tt0491927,actress,Meltem Savci,actress
tt0492755,actor,Hang-Seon Jang,actor
tt0492755,actor,Ki-woo Lee,actor
tt0492755,actress,Song Yun-ah,actress
tt0492755,actor,Sol Kyung-gu,actor
tt0494997,actor,Birbal,actor
tt0494997,actress,Anaida,music_department
tt0494997,actress,Nafisa Ali,actress
tt0494997,actor,Shammi Kapoor,actor
tt0495909,actress,Brigid Berlin,actress
tt0495909,actor,Alexis de la Falaise,actor
tt0495909,actress,Viva,actress
tt0495909,actress,Abigail Rosen,actress
tt0497777,actor,Richard Gutierrez,actor
tt0497777,actor,Bearwin Meily,actor
tt0497777,actress,Tuesday Vargas,actress
tt0497777,actress,Angel Locsin,actress
tt0498480,actor,Sam Milby,actor
tt0498480,actress,Bea Alonzo,actress
tt0498480,actress,Melanie Marquez,actress
tt0498480,actor,John Lloyd Cruz,actor
tt0499218,actress,Aruna Irani,actress
tt0499218,actress,Reema Lagoo,actress
tt0499218,actor,Viju Khote,actor
tt0499218,actor,Rakesh Bedi,actor
tt0499218,actress,Rohini Hattangadi,actress
tt0499218,actor,Kiran Kumar,actor
tt0499501,actor,Gerry Lehane,actor
tt0499501,actor,Alvin Keith,actor
tt0499501,actress,Marin Ireland,actress
tt0499501,actress,Yvonne Woods,actress
tt0756250,actress,Love Ersare,actress
tt0756250,actress,Maria Hedborg,actress
tt0756250,actor,Sten Ljunggren,actor
tt0756250,actor,Stefan Gödicke,actor
tt0757859,actress,Bea Alonzo,actress
tt0757859,actress,Anne Curtis,actress
tt0757859,actor,John Lloyd Cruz,actor
tt0757859,actor,Luis Manzano,actor
tt0757865,actor,Erwin Weche,actor
tt0757865,actress,Elise Beaumont,actress
tt0757865,actor,Simon Boisvert,producer
tt0757865,actress,Diana Lewis,actress
tt0757865,actress,Natasha M. Leroux,actress
tt0757865,actress,Caroline Gendron,actress
tt0759940,actor,Pierre Brault,actor
tt0759940,actor,Peter Michael Dillon,actor
tt0759940,actor,Derek Diorio,writer
tt0759940,actor,Norman Mikeal Berketa,actor
tt0777723,actress,Qiong Zhou,actress
tt0777723,actor,Kenneth Yuen,actor
tt0777723,actor,Quan Ren,actor
tt0777723,actress,Qing Wu,actress
tt0777723,actor,Meng Huang,actor
tt0777723,actress,Angela Shao-Han Chang,actress
tt0777723,actor,Leo Ku,actor
tt0777723,actor,Yuan Nie,actor
tt0778020,actor,Ju-bong Gi,actor
tt0778020,actress,Eun-deok Jo,actress
tt0778020,actress,Kim Ji-Soo,actress
tt0778020,actor,Jae-Hyun Cho,actor
tt0778020,actor,Eom Hyo-Seob,actor
tt0778020,actor,Je-mun Yun,actor
tt0778020,actor,Hyun-Sung Jang,actor
tt0778881,actress,Riya Sen,actress
tt0778881,actor,Jackie Shroff,actor
tt0778881,actor,Sumit Nijhawan,actor
tt0778881,actress,Nethra Raghuraman,actress
tt0781315,actress,Manvi Dhoopar,actress
tt0781315,actress,Shetal Shah,actor
tt0781315,actor,Samrat Chakrabarti,actor
tt0781315,actor,Tirlok Malik,actor
tt0783236,actor,Taylor Negron,actor
tt0783236,actor,John Kassir,actor
tt0783236,actor,Nat Christian,actor
tt0783236,actress,Kimberly Oja,actress
tt0788135,actor,Roy Cheung,actor
tt0788135,actor,Ye Liu,actor
tt0788135,actress,Angelica Lee,actress
tt0789780,actor,Árpád Lehotay,actor
tt0789780,actor,Pál Jávor,actor
tt0789780,actor,Gyula Csortos,actor
tt0789780,actress,Lili Berky,actress
tt0791089,actor,Afra,actor
tt0791089,actor,Naoto Takenaka,actor
tt0791089,actress,Ani,actress
tt0791089,actress,Tomoyo Harada,actress
tt0800998,actor,Christian Skolmen,actor
tt0800998,actress,Cecilie A. Mosli,actress
tt0800998,actress,Eva Röse,actress
tt0800998,actor,Stig Henrik Hoff,actor
tt0803755,actor,Umar El-Hariri,actor
tt0803755,actress,Safia El Emari,actress
tt0803755,actress,Nelly,actress
tt0803755,actor,Mahmoud Yassine,actor
tt0803755,actress,Aziza Helmy,actress
tt0806118,actress,Meera Jasmine,actress
tt0806118,actor,Srikanth,actor
tt0806118,actor,Mahadevan,actor
tt0806118,actress,Samiksha Oswal,actress
tt0814198,actress,Stephanie Kirchen,actress
tt0814198,actress,Jill Kocalis,actress
tt0814198,actor,Stephan D. Gill,actor
tt0814198,actor,Ron Smith,actor
tt0814198,actor,Keith Bearden,actor
tt0815170,actor,Benjamin Montague,miscellaneous
tt0815170,actor,Cliff Chamberlain,actor
tt0815170,actress,Morgan McCabe,actress
tt0815170,actress,Elaine Robinson,actress
tt0816149,actor,João Lagarto,actor
tt0816149,actor,Filipe Duarte,actor
tt0816149,actress,Rita Martins,actress
tt0816149,actress,Margarida Marinho,actress
tt0816654,actor,Parthiban Radhakrishnan,actor
tt0816654,actress,Vijayalakshmi,actress
tt0816654,actor,Chinnijayanth,actor
tt0816654,actress,Uma Shankari,actress
tt0817178,actor,Anupam Kher,actor
tt0817178,actor,Dinesh Arora,actor
tt0817178,actor,Vikas Kalantri,actor
tt0817178,actor,Luan Bexheti,actor
tt0819761,actor,Te-Kai Liu,actor
tt0819761,actress,Shi-Yu Chang,actress
tt0819761,actor,Shao-Tung Chou,actor
tt0819761,actor,Han Chin,actor
tt0819761,actor,Yung-Lin Ma,actor
tt0819761,actress,Hsiao-Ling Hsu,actress
tt0819761,actress,Brigitte Lin,actress
tt0819761,actress,Liu-Chiung Chang,actress
tt0819778,actor,Han Chin,actor
tt0819778,actress,Brigitte Lin,actress
tt0819778,actress,Hai-Ling Chu,actress
tt0819778,actor,Pin Chiang,actor
tt0819818,actress,Bao-Yun Tang,actress
tt0819818,actor,Han Chin,actor
tt0819818,actor,Yung-Lin Ma,actor
tt0819818,actress,Brigitte Lin,actress
tt0819826,actress,Tsui-Ying Bao,actress
tt0819826,actor,Charlie Chin,actor
tt0819826,actress,Brigitte Lin,actress
tt0819826,actor,Yi-yi Chang,actor
tt0823607,actress,Pratibha Sinha,actress
tt0823607,actor,Sujoy Mukherjee,producer
tt0823607,actor,Alok Nath,actor
tt0823607,actor,Mohnish Behl,actor
tt0824687,actor,John King,actor
tt0824687,actress,Holly Marshall,actress
tt0824687,actor,John King,actor
tt0824687,actor,Stuart Black,actor
tt0825270,actress,Judith Godrèche,actress
tt0825270,actress,Martine Fontaine,actress
tt0825270,actor,Julien Boisselier,actor
tt0825270,actor,Richard Berry,actor
tt0830545,actress,Christa Théret,actress
tt0830545,actress,Lucie Desclozeaux,actress
tt0830545,actor,Gaël Tavares,actor
tt0830545,actor,Nicolas Schweri,actor
tt0832483,actress,Gisela Schneeberger,actress
tt0832483,actor,Anatole Taubman,actor
tt0832483,actress,Karoline Guthke,actress
tt0832483,actor,Stefan Merki,actor
tt0834891,actress,Melissa Maureen Rizal,actress
tt0834891,actor,Azman Hassan,actor
tt0834891,actor,Jerome Kugan,composer
tt0834891,actor,Tora Andika,actor
tt0835823,actor,Nam-gil Kim,actor
tt0835823,actress,Shin Dong-mi,actress
tt0835823,actor,Jin-hyeok Kim,actor
tt0835823,actress,Jeong-rim Baek,actress
tt0835823,actor,In-gi Jeong,actor
tt0835823,actress,Hye-na Kim,actress
tt0835823,actress,Kim Ja-yeong,actress
tt0843327,actress,Poonam Bajwa,actress
tt0843327,actress,Nayanthara,actress
tt0843327,actor,Nagarjuna Akkineni,actor
tt0843327,actor,Sunil,actor
tt0843625,actress,Toni Gonzaga,actress
tt0843625,actress,Susan Africa,actress
tt0843625,actor,Sam Milby,actor
tt0843625,actress,Jodi Sta. Maria,actress
tt0845558,actor,Ishrat Ali,actor
tt0845558,actor,Ninad Kamat,actor
tt0845558,actor,Karann Nathh,actor
tt0845558,actress,Priyanka Kothari,actress
tt0845558,actor,Sharat Saxena,actor
tt0850678,actor,Matthew O. Sloan,actor
tt0850678,actress,Luona Wang,actress
tt0850678,actor,Jeff Bredt,actor
tt0850678,actress,Kim Jiang Dubaniewicz,actress
tt0853000,actor,Nathaniel Ho,actor
tt0853000,actor,Rhay Gynn,actor
tt0853000,actress,Leah Low,visual_effects
tt0853000,actor,Trey Ho,actor
tt0857395,actor,Anupam Kher,actor
tt0857395,actress,Dia Mirza,actress
tt0857395,actor,Jimmy Shergill,actor
tt0857395,actor,Govind Namdeo,actor
tt0860912,actress,Zhen Zhen,actress
tt0860912,actor,Alan Tang,actor
tt0860912,actor,Yin Tse,actor
tt0860912,actor,Han Chin,actor
tt0860929,actor,Charlie Chin,actor
tt0860929,actor,Feng Shih,actor
tt0860929,actress,Brigitte Lin,actress
tt0860929,actress,Ling-Ling Hsia,actress
tt0875008,actor,Han-Yong Jeong,actor
tt0875008,actor,Hyun-Woo Ji,actor
tt0875008,actor,Ju-ho,actor
tt0875008,actress,Rae-yeon Kang,actress
tt0875008,actress,Song-hee Kim,actress
tt0875008,actress,Jung Ae-ri,actress
tt0878098,actress,Achala Sachdev,actress
tt0878098,actor,Nasir Hussain,actor
tt0878098,actor,Manoj Kumar,actor
tt0878098,actress,Asha Parekh,producer
tt0878098,actor,Mohan Choti,actor
tt0882981,actress,Evelyn Tan,actress
tt0882981,actor,Allen Lin,actor
tt0882981,actress,Erica Lee,actress
tt0882981,actress,Tracy Tan,actress
tt0882981,actor,Benjamin Yeung,actor
tt0882981,actress,Amanda Ling,actress
tt0884177,actress,Andrea Beltrão,actress
tt0884177,actor,José Wilker,actor
tt0884177,actor,Bruno Garcia,actor
tt0884177,actor,Marco Nanini,actor
tt0884855,actress,Ramaprabha,actress
tt0884855,actor,Sayaji Shinde,actor
tt0884855,actor,Ram Pothineni,actor
tt0884855,actress,Ileana D'Cruz,actress
tt0885472,actor,Hao Gao,actor
tt0885472,actress,Yuti Zhang,actress
tt0885472,actor,Qing-feng Niu,actor
tt0885472,actress,Weitong Zhou,actress
tt0886693,actress,Krisdayanti,soundtrack
tt0886693,actress,Cornelia Agatha,actress
tt0886693,actress,Enditha,actress
tt0886693,actor,Gary M. Iskak,actor
tt0887254,actor,Vaiyapuri,actor
tt0887254,actor,Madhavan,actor
tt0887254,actress,Sneha,actress
tt0887254,actor,Manivannan,actor
tt0887254,actor,Thalaivasal Vijay,actor
tt0887254,actress,Rudra,actress
tt0887783,actor,Yuriy Vasilev,actor
tt0887783,actress,Polina Medvedeva,actress
tt0887783,actress,Lyudmila Makarova,actress
tt0887783,actor,Oleg Efremov,actor
tt0889145,actor,Charles Fraser,actor
tt0889145,actor,Wade A. Vaughn,actor
tt0889145,actress,Bridgette McGehee,actress
tt0889145,actress,Jane Hammill,actress
tt0889194,actor,Koichi Hashizume,actor
tt0889194,actor,Naohito Fujiki,actor
tt0889194,actress,Yuki Uchida,actress
tt0889194,actor,Shôsuke Tanihara,actor
tt0896573,actor,Jerzy Marr,actor
tt0896573,actor,Stanislaw Knake-Zawadzki,actor
tt0896573,actress,Maria Gorczynska,actress
tt0896573,actor,Kazimierz Justian,actor
tt0896573,actor,Wieslaw Gawlikowski,actor
tt0896573,actor,Stanislaw Gruszczynski,actor
tt0896573,actress,Jadwiga Smosarska,actress
tt0899285,actor,Ludwik Sempolinski,actor
tt0899285,actress,Stanislawa Angel-Engelówna,actress
tt0899285,actor,Mieczyslaw Cybulski,actor
tt0899285,actor,Boguslaw Samborski,actor
tt0902985,actor,Manish Dayal,actor
tt0902985,actress,Roquel La Fayette,actress
tt0902985,actor,Gopichand Lagadapati,actor
tt0902985,actress,Sai Lang,actress
tt0905642,actor,Jenne Decleir,actor
tt0905642,actor,Des Braiden,actor
tt0905642,actor,Joe Cassidy,actor
tt0905642,actor,Guido De Craene,actor
tt0918626,actor,Nicholas Cabello,actor
tt0918626,actress,Karen Berg,actress
tt0918626,actress,Connie Bathrick,actress
tt0918626,actress,Ryan Michelle Bathe,actress
tt0923854,actress,Ryôko Hirosue,actress
tt0923854,actor,Tetsuji Tamayama,actor
tt0923854,actress,Makoto Akita,actress
tt0923854,actress,Miki Arimura,actress
tt0923884,actress,Kim Ji-Soo,actress
tt0923884,actor,Seon-Yeong Baek,actor
tt0923884,actor,In-gi Jeong,actor
tt0923884,actress,Hye-seon Jeong,actress
tt0923884,actor,Jang-Su Bae,actor
tt0923884,actress,Kim Ji-Hyeon,actress
tt0923884,actor,Cheol-ho Choi,actor
tt0923884,actress,Ban-ya Choi,actress
tt0923923,actor,Louis Koo,actor
tt0923923,actress,Bowie Tsang,actress
tt0923923,actress,Rene Liu,actress
tt0923923,actor,Lawrence Chou,actor
tt0924196,actor,Mehmet Büyükgüngör,actor
tt0924196,actor,Hamit Haskabal,actor
tt0924196,actor,Salih Güney,actor
tt0924196,actor,Nevzer Eker,actor
tt0924196,actress,Cavidan Dora,actress
tt0924196,actor,Ekrem Dümer,actor
tt0924248,actress,Sneha,actress
tt0924248,actress,Parvati Melton,actress
tt0924248,actor,Giri Babu,actor
tt0924248,actor,Sumanth,actor
tt0924258,actor,Sivaji Raja,actor
tt0924258,actor,M.S. Narayana,actor
tt0924258,actress,Raveena Rajput,actress
tt0924258,actor,Maharshi Raghava,actor
tt0924318,actress,Maria Malicka,actress
tt0924318,actor,Antoni Rózanski,actor
tt0924318,actor,Tadeusz Fijewski,actor
tt0924318,actress,Krysia Dlugolecka,actress
tt0924318,actress,Józefa Modzelewska,actress
tt0924318,actor,Jerzy Marr,actor
tt0928154,actor,Daniel Henney,actor
tt0928154,actress,Mi-yeon Oh,actress
tt0928154,actor,Joong-hyeon Bang,actor
tt0928154,actor,Ki-hyeon Kim,director
tt0928154,actress,Uhm Junghwa,actress
tt0928154,actress,Holly Karrol Clark,actress
tt0929764,actor,Chandramohan,actor
tt0929764,actor,Charan,actor
tt0929764,actor,Mohammad Ali,actor
tt0929764,actor,Sarath Babu,actor
tt0944223,actress,Yuanyuan Gao,actress
tt0944223,actress,Naoko Miyake,actress
tt0944223,actor,Shawn Yue,actor
tt0944223,actor,Takuji Suzuki,actor
tt0945570,actor,Charles 'Bud' Tingwell,actor
tt0945570,actor,Cameron Knight,actor
tt0945570,actress,Charlotte Rose,actress
tt0945570,actor,Rodger Corser,actor
tt0947077,actor,Arun Bakshi,actor
tt0947077,actress,Zeenat Aman,actress
tt0947077,actor,Raj Babbar,actor
tt0947077,actor,Gaurav Ghai,actor
tt0947077,actress,Beenu Bhardwaj,actress
tt0947101,actor,Mario Macaluso,actor
tt0947101,actress,Manon Kahle,actress
tt0947101,actress,Alexandra Finder,actress
tt0950715,actor,Cary Edwards,actor
tt0950715,actress,Roshni Menon,actress
tt0950715,actor,Madhavan,actor
tt0950715,actor,Michael Muthu,actor
tt0955412,actress,Angell Conwell,actress
tt0955412,actor,Jimmy Flowers,actor
tt0955412,actress,Aubrey Dickinson,actress
tt0955412,actor,Brad Gerry,actor
tt0955412,actor,Cass Alexander Brown,actor
tt0955412,actor,Malik Barnhardt,actor
tt0959284,actor,Duvvasi Mohan,actor
tt0959284,actor,Uday Kiran,actor
tt0959284,actress,Ramaprabha,actress
tt0959284,actor,Pilla Prasad,actor
tt0959341,actor,Sammir Dattani,actor
tt0959341,actor,Avinash,actor
tt0959341,actress,Sharmiela Mandre,actress
tt0959341,actor,Anant Nag,actor
tt0963191,actor,Gopi,actor
tt0963191,actor,Athitya,actor
tt0963191,actress,Anuradha Krishnamoorthy,actress
tt0963191,actor,Avinash,actor
tt0963191,actor,Uday Kiran,actor
tt0964522,actor,Tony Ranasinghe,actor
tt0964522,actress,Swarna Mallawarachchi,actress
tt0964522,actor,Amarasiri Kalansooriya,actor
tt0964522,actor,Vijaya Kumaratunga,actor
tt0965561,actor,Jugal Hansraj,actor
tt0965561,actor,Subbaraju,actor
tt0965561,actress,Aarthi Agarwal,actress
tt0965561,actor,Tarun,actor
tt0968766,actor,Carlos Hipólito,actor
tt0968766,actress,Irene Visedo,actress
tt0968766,actor,Eduard Fernández,actor
tt0968766,actress,Marta Belaustegui,actress
tt0969277,actress,Sandra Medina,make_up_department
tt0969277,actress,Anne-Grethe Bjarup Riis,actress
tt0969277,actor,Beat Marti,actor
tt0969277,actress,Laura Drasbæk,actress
tt0969368,actress,Kim Bo-kyung,actress
tt0969368,actor,Hyun-Woo Lee,actor
tt0969368,actress,Ye-ryeong Kim,actress
tt0969368,actress,Eun-hee Bang,actress
tt0969368,actor,Hae-Sung Kwon,actor
tt0971222,actor,Brahmanandam,actor
tt0971222,actor,Ravi Varma,actor
tt0971222,actor,Raja,actor
tt0971222,actress,Parvati Melton,actress
tt0976043,actress,Brittany Daniel,actress
tt0976043,actor,Morgan H. Margolis,actor
tt0976043,actor,Ted Lange,actor
tt0976043,actor,Chris Bruno,actor
tt0978323,actor,Orhan Çagman,actor
tt0978323,actress,Melike Zobu,actress
tt0978323,actor,Kutay Köktürk,actor
tt0978323,actress,Seda Sezer,actress
tt0978323,actor,Ibrahim Tatlises,actor
tt0981316,actor,Konstantin Lavronenko,actor
tt0981316,actress,Darya Moroz,actress
tt0981316,actor,Egor Barinov,actor
tt0981316,actress,Yui Han,actress
tt0984240,actor,Chinnijayanth,actor
tt0984240,actor,Ramesh Khanna,actor
tt0984240,actress,Simran,actress
tt0984240,actor,Nassar,actor
tt0984240,actor,Charlie,actor
tt0984240,actor,Ajith Kumar,director
tt0984240,actor,Raghava Lawrence,miscellaneous
tt0984240,actor,Manivannan,actor
tt0996597,actress,Gülsen Bubikoglu,actress
tt0996597,actor,Ilhan Daner,actor
tt0996597,actor,Nubar Terziyan,actor
tt0996597,actor,Tevhid Bilge,actor
tt0996597,actor,Semsi Inkaya,actor
tt0996597,actor,Mesut Engin,actor
tt0996908,actor,Fele Martínez,actor
tt0996908,actor,Jorge Yáñez,actor
tt0996908,actress,Mercè Llorens,actress
tt0996908,actress,Claudia Cabezas,actress
tt0996978,actress,Stephy Tang,actress
tt0996978,actor,Sammy Leung,actor
tt0996978,actor,Lik-Sun Fong,actor
tt0996978,actress,Linda Chung,actress
tt0997155,actress,Aoi Miyazaki,actress
